ESTBAN (Documento 4500) por agencia
Data de geracao dos dados: 2024-09-02
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGENCIA;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000006394;18844152;18844152;0;0;0;0;73491005;16034;73386556;88415;210615406;154984609;8368855;0;0;0;0;47276150;-14208;0;0;0;106222;0;303056786;24052171;16223520;43950157;0;43950157;0;195629209;0;195629209;15936109;15936109;120;3612175;3612175;545416;0;3107909;4207461;-1099552;303056786;2504009
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000250465;85079;37652;47427;0;0;0;289568719;39908;289528811;0;263710588;148945387;1853691;2009277;0;62348945;93551;48459737;0;0;0;0;37850;0;553402236;49628732;211436774;261011526;0;261011526;0;24467921;0;24467921;0;0;310;291258;291258;5290944;0;1274771;4277350;-3002579;553402236;2504009
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000352462;397476;397476;0;0;0;0;10744071;36292;10707778;0;137724527;78180198;803218;694950;2;38242288;0;19803872;0;0;0;0;34979;0;148901052;31710094;82406957;18597917;0;18597917;0;10169471;0;10169471;0;0;318;1663185;1663185;2713186;0;1639925;2494496;-854571;148901052;2504009
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000436135;110571;110571;0;0;0;0;79005952;42593;78963359;0;173719774;116951032;828795;1241939;0;28020951;84553;26592504;0;0;0;0;24659;0;252860956;35663520;153864994;30124348;0;30124348;0;28148243;0;28148244;0;0;442;232880;232879;3145855;0;1680673;2880484;-1199812;252860956;2504009
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000732109;0;0;0;0;0;0;681680;0;681680;0;345249384;135850778;27460314;91242113;0;44583465;226718;45885996;0;0;0;0;34143;0;345965207;24856038;60584911;18553918;0;18553918;0;234800353;0;234800353;0;0;0;151828;151828;3362884;0;3655274;4378850;-723575;345965207;2504009
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000735205;0;0;0;0;0;698623;1788883;208553;1580330;0;209234245;85834268;1031819;7843069;0;96941747;57264;17526078;0;0;0;0;34143;0;211755895;23462286;56674076;10437945;0;10437945;0;116485633;0;116485632;0;0;0;798414;798413;1514641;0;2382901;3029597;-646696;211755895;2504009
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;'00000000757608;0;0;0;0;0;0;0;0;0;0;19926741;2738349;3674730;0;0;11865545;0;1648117;0;0;0;0;36876;0;19963617;16463;0;0;0;0;0;19379324;0;19379324;0;0;0;109;109;405651;0;162070;214309;-52238;19963617;2504009
202401;PB;5366;CAMPINA GRANDE;00360305;CAIXA ECONOMICA FEDERAL;'00360305004100;4001907;4001907;0;0;0;0;-126374223;654009;0;-127028232;1090481094;226386510;602226;27790420;0;880155692;6185179;0;-50638932;0;0;0;6246547;0;974355325;27604651;674290886;97594513;0;97594513;0;987260;12640;974621;0;0;0;115116;115116;172046023;0;1716874;10554486;-8837612;974355325;2504009
202401;PB;5366;CAMPINA GRANDE;00360305;CAIXA ECONOMICA FEDERAL;'00360305073764;1674856;1674856;0;0;0;0;-619248096;586391;503219;-620337705;956105301;108619987;208886;157387;0;883033808;1782899;0;-37697666;0;0;0;2949733;0;341481794;14269855;212778643;2374355;0;2374355;0;454149;9630;444519;0;0;0;38277;38277;106708757;0;4857758;8443199;-3585441;341481794;2504009
202401;PB;5366;CAMPINA GRANDE;00360305;CAIXA ECONOMICA FEDERAL;'00360305222190;1301549;1301549;0;0;0;0;-700491361;0;896018;-701387379;899777759;77423995;249089;0;0;851625471;3780185;0;-33300981;0;0;0;3562760;0;204150706;12396235;96382774;20579688;0;20579688;0;198567;1560;197008;0;0;0;78251;78252;68969123;0;5546067;6894008;-1347941;204150706;2504009
202401;PB;5366;CAMPINA GRANDE;07237373;BCO DO NORDESTE DO BRASIL S.A.;'07237373000987;570638;570638;0;0;0;0;30350;0;0;30350;89660845;71165030;18113734;0;0;0;0;382082;0;0;0;0;5426;0;90267259;23465411;8693064;31300468;0;31300468;0;22627176;0;22627176;0;0;0;3990;3990;1858569;0;2318580;3341666;-1023085;90267259;2504009
202401;PB;5366;CAMPINA GRANDE;60701190;ITAÚ UNIBANCO S.A.;'60701190032804;3439833;3439833;0;0;0;0;89881865;0;89881865;0;121429640;120967474;1083266;0;0;0;0;0;-621101;0;0;0;0;0;214751338;5115619;75883062;131626048;0;131626048;0;459623;0;459624;0;0;0;-1352;-1352;0;0;1668338;3517616;-1849278;214751338;2504009
202401;PB;5366;CAMPINA GRANDE;60701190;ITAÚ UNIBANCO S.A.;'60701190418753;260863;260863;0;0;0;0;99226153;0;99226153;0;68868539;68665780;1120719;0;0;0;0;0;-917960;0;0;0;1214;1083;168357853;3517803;43354601;120437435;0;120437435;0;411765;0;411765;0;0;0;-4067;-4067;32892;0;607423;2155708;-1548285;168357853;2504009
